beta,observation_percentage,noise_mode,noise_rate,trials,accuracy,mean_true_goal_rank,std_true_goal_rank,mean_true_goal_probability,std_true_goal_probability,mean_noisy_observation_length,mean_dropped_actions,mean_corrupted_actions,mean_inserted_actions,accuracy_ci95_low,accuracy_ci95_high,accuracy_ci95_half_width
10.0,0.5,corrupt,0.2,50,0.64,1.82,1.2887266298678752,0.6366666657391474,0.47103157738783635,1.78,0.22,0.4,0.0,0.5069507880519393,0.7730492119480608,0.13304921194806074
0.1,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.19344473510996166,0.03216462708429029,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
0.25,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.24326907197754102,0.09072581140947611,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
0.5,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.3400419423729524,0.20306943784796067,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
1.0,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.48571223778803324,0.37619341508877124,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
2.0,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.5552644905616699,0.46836351275697347,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
5.0,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.5633147157760903,0.4807693479035342,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
10.0,0.5,corrupt,0.3,50,0.62,2.1,1.6567733578204573,0.5633333324882603,0.4807991255748972,1.82,0.18,0.6,0.0,0.4854577419544328,0.7545422580455672,0.1345422580455672
0.1,0.5,missing,0.1,50,0.92,1.14,0.5349041493385444,0.21516564443275102,0.016974746341264193,1.76,0.24,0.0,0.0,0.8448013617144566,0.9951986382855434,0.0751986382855434
0.25,0.5,missing,0.1,50,0.92,1.14,0.5349041493385444,0.30430803385797395,0.04909982807758277,1.76,0.24,0.0,0.0,0.8448013617144566,0.9951986382855434,0.0751986382855434
0.5,0.5,missing,0.1,50,0.92,1.14,0.5349041493385444,0.4763481260521336,0.11247577612279905,1.76,0.24,0.0,0.0,0.8448013617144566,0.9951986382855434,0.0751986382855434
1.0,0.5,missing,0.1,50,0.92,1.14,0.5349041493385444,0.7398330481322312,0.20780567181307705,1.76,0.24,0.0,0.0,0.8448013617144566,0.9951986382855434,0.0751986382855434
2.0,0.5,missing,0.1,50,0.92,1.14,0.5349041493385444,0.8757259010440375,0.2512461738625545,1.76,0.24,0.0,0.0,0.8448013617144566,0.9951986382855434,0.0751986382855434
